Strain Name	cj0008 (486bp)	cj0033 (206bp)	cj0035 (541bp)	cj0057 (175bp)	cj0177 (399bp)	cj0181 (486bp)	cj0264 (406bp)	cj0297c (300bp)	cj0298c (198bp)	cj0307 (347bp)	cj0421c (127bp)	cj0483 (612bp)	cj0486 (301bp)	cj0566 (558bp)	cj0569 (399bp)	cj0570 (405bp)	cj0625 (498bp)	cj0728 (296bp)	cj0733 (441bp)	cj0736 (205bp)	cj0755 (101bp)	cj0860 (282bp)	cj0967 (301bp)	cj1134 (152bp)	cj1136 (510bp)	cj1141 (413bp)	cj1294 (160bp)	cj1324 (440bp)	cj1329 (307bp)	cj1334 (462bp)	cj1427c (613bp)	cj1431c (307bp)	cj1439 (307bp)	cj1550c (188bp)	cj1551 (241bp)	cj1552 (222bp)	cj1585 (630bp)	cj1679 (529bp)	cj1721 (415bp)	cj1727c (369bp)
08_4913	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
08_5925	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CE_M_10_3107	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1
CE_R_10_0273	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0
CE2_R_11_3035	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CE2_R2_11_3019	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
CE2_R2_11_3023	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0
CI-0609	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CI-0765	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CI-0783	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0
CI-1008	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CI-1845	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
CI-2840	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0
CI-3421	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1
CI-4071	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CI-4079	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CI-4102	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
07_3853	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
08_0094	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
08_0096	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0
08_1841	0	1	1	1	0	1	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	1	1
CHR_127	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1
CI-0094	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1
CI-1137	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0
CI-2423	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
CI-2439	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
07_1875	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1
08_7017	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
CI-0884	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1
CI-0893	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CI-0898	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CI-0927	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0
CI-2950	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CI-2995	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
CI-3943	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
06_5176	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
08_1709	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
08_1711	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CGY_HR_013	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1
CGY_HR_108	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	1
CGY_HR_109	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CI-2864	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1
06_3569	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1
06_6211	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	1
07_3238	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CE_M_09_3054	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	1
CE_R_11_0100	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
CE2_R2_11_1027	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CE2_R2_11_1033	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CI-0450	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
CI-0453	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
CI-0458	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
CI-1157	0	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1
CI-3036	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CI-3043	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
CI-3299	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0
CI-3643	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CI-5300	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0
CI-5997	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1
07_4076	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
07_5038	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CE_M_09_3081	0	0	1	0	0	1	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1
CE_M_10_4091	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1
CHR_022	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0
CI-1088	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CI-1092	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CI-1096	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	1
CI-1920	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
07_5039	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
07_5041	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0
08_0099	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
CE_M_09_4099	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1
CGY_HR_020	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0
CGY_HR_118	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
CHR_023	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0
CI-0334	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0
CI-0346	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0
CI-1660	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
CI-5198	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CI-5245	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0
06_3849	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
08_5176	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
08_6160	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
CE_R_11_0077	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0
CGY_HR_058	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0
CI-0973	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	1
CI-0987	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
06_7515	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1
07_6017	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
08_0100	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0
08_7039	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CE_R2_11_0374	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CE2_R_11_1063	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
CGY_HR_022	0	0	1	0	0	1	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1
CI-0215	0	0	1	1	0	1	0	1	1	1	1	1	1	0	0	0	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	1	1
06_6212	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CGY_HR_130	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CHR_130	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	1
CI-1799	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CI-5034	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CI-5328	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CI-5357	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
06_7585	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
07_6066	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CGY_HR_061	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1
CI-0918	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0
06_2866	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
08_4456	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
CE_M_09_3107	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CGY_HR_026	0	1	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CHR_090	0	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1
CHR_151	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CI-1943	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
CI-2328	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CI-4806	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
06_2855	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1
CE_M_09_2085	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0
CGY_HR_139	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CGY_HR_140	0	1	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CHR_159	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CI-2651	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CI-2695	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
CI-3986	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
07_7324	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1
08_5490	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
08_6208	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CGY_HR_027	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1
CI-0392	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0
CI-0637	0	1	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CI-1415	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CI-1964	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CI-1969	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CI-3856	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
CI-3879	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
06_7332	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
07_1493	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1
CE_M_10_2096	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	1
CE_M_10_3062	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0
CE_R_10_0305	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CE_R_10_0306	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CI-0662	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
CI-1874	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0
CI-1875	0	0	1	0	0	1	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1
CI-1884	0	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1
CI-5254	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0
CI-5429	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
07_2680	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1
CE_R_11_0238	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1
CE_R_11_0240	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CI-2230	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
CI-2499	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CI-2510	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
07_4268	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0
07_4269	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
07_5321	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0
CGY_HR_073	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
