"","x"
"1",1
"2",0.628947368421053
"3",0.886842105263158
"4",0.628947368421053
"5",0.618421052631579
"6",0.439473684210526
"7",0.547368421052632
"8",0.439473684210526
"9",0.673684210526316
"10",0.886842105263158
"11",0.439473684210526
"12",0.55
"13",0.55
"14",0.502631578947368
"15",0.521052631578947
"16",0.510526315789474
"17",0.289473684210526
"18",0.33421052631579
"19",0.33421052631579
"20",0.386842105263158
"21",0.289473684210526
"22",0.289473684210526
"23",0.289473684210526
"24",0.657894736842105
"25",0.781578947368421
"26",0.592105263157895
"27",0.894736842105263
"28",0.523684210526316
"29",0.781578947368421
"30",0.289473684210526
"31",0.513157894736842
"32",0.513157894736842
"33",0.781578947368421
"34",0.381578947368421
"35",0.307894736842105
"36",0.471052631578947
"37",0.407894736842105
"38",0.468421052631579
"39",0.628947368421053
"40",1
"41",0.610526315789474
"42",0.910526315789474
"43",0.857894736842105
"44",0.610526315789474
"45",0.692105263157895
"46",0.610526315789474
"47",0.955263157894737
"48",0.610526315789474
"49",0.610526315789474
"50",0.584210526315789
"51",0.584210526315789
"52",0.805263157894737
"53",0.85
"54",0.771052631578947
"55",0.55
"56",0.505263157894737
"57",0.505263157894737
"58",0.621052631578947
"59",0.55
"60",0.55
"61",0.55
"62",0.760526315789474
"63",0.505263157894737
"64",0.826315789473684
"65",0.523684210526316
"66",0.894736842105263
"67",0.505263157894737
"68",0.55
"69",0.747368421052632
"70",0.747368421052632
"71",0.436842105263158
"72",0.473684210526316
"73",0.542105263157895
"74",0.61578947368421
"75",0.526315789473684
"76",0.581578947368421
"77",0.886842105263158
"78",0.610526315789474
"79",1
"80",0.610526315789474
"81",0.6
"82",0.378947368421053
"83",0.576315789473684
"84",0.378947368421053
"85",0.655263157894737
"86",1
"87",0.378947368421053
"88",0.578947368421053
"89",0.578947368421053
"90",0.442105263157895
"91",0.460526315789474
"92",0.45
"93",0.228947368421053
"94",0.273684210526316
"95",0.273684210526316
"96",0.415789473684211
"97",0.228947368421053
"98",0.228947368421053
"99",0.228947368421053
"100",0.639473684210526
"101",0.894736842105263
"102",0.505263157894737
"103",0.781578947368421
"104",0.505263157894737
"105",0.894736842105263
"106",0.228947368421053
"107",0.426315789473684
"108",0.426315789473684
"109",0.826315789473684
"110",0.294736842105263
"111",0.247368421052632
"112",0.5
"113",0.347368421052632
"114",0.555263157894737
"115",0.628947368421053
"116",0.910526315789474
"117",0.610526315789474
"118",1
"119",0.947368421052632
"120",0.673684210526316
"121",0.755263157894737
"122",0.673684210526316
"123",0.955263157894737
"124",0.610526315789474
"125",0.673684210526316
"126",0.584210526315789
"127",0.584210526315789
"128",0.715789473684211
"129",0.760526315789474
"130",0.681578947368421
"131",0.523684210526316
"132",0.478947368421053
"133",0.478947368421053
"134",0.594736842105263
"135",0.523684210526316
"136",0.523684210526316
"137",0.523684210526316
"138",0.760526315789474
"139",0.505263157894737
"140",0.736842105263158
"141",0.523684210526316
"142",0.805263157894737
"143",0.505263157894737
"144",0.523684210526316
"145",0.747368421052632
"146",0.747368421052632
"147",0.436842105263158
"148",0.563157894736842
"149",0.542105263157895
"150",0.61578947368421
"151",0.526315789473684
"152",0.492105263157895
"153",0.618421052631579
"154",0.857894736842105
"155",0.6
"156",0.947368421052632
"157",1
"158",0.726315789473684
"159",0.744736842105263
"160",0.726315789473684
"161",0.902631578947368
"162",0.6
"163",0.726315789473684
"164",0.531578947368421
"165",0.531578947368421
"166",0.663157894736842
"167",0.707894736842105
"168",0.671052631578947
"169",0.576315789473684
"170",0.531578947368421
"171",0.531578947368421
"172",0.584210526315789
"173",0.576315789473684
"174",0.576315789473684
"175",0.576315789473684
"176",0.707894736842105
"177",0.494736842105263
"178",0.726315789473684
"179",0.513157894736842
"180",0.752631578947368
"181",0.494736842105263
"182",0.576315789473684
"183",0.736842105263158
"184",0.736842105263158
"185",0.426315789473684
"186",0.615789473684211
"187",0.594736842105263
"188",0.668421052631579
"189",0.578947368421053
"190",0.439473684210526
"191",0.439473684210526
"192",0.610526315789474
"193",0.378947368421053
"194",0.673684210526316
"195",0.726315789473684
"196",1
"197",0.776315789473684
"198",1
"199",0.655263157894737
"200",0.378947368421053
"201",1
"202",0.521052631578947
"203",0.521052631578947
"204",0.610526315789474
"205",0.565789473684211
"206",0.618421052631579
"207",0.85
"208",0.805263157894737
"209",0.805263157894737
"210",0.663157894736842
"211",0.85
"212",0.85
"213",0.85
"214",0.460526315789474
"215",0.273684210526316
"216",0.521052631578947
"217",0.33421052631579
"218",0.505263157894737
"219",0.273684210526316
"220",0.85
"221",0.547368421052632
"222",0.547368421052632
"223",0.289473684210526
"224",0.605263157894737
"225",0.8
"226",0.568421052631579
"227",0.747368421052632
"228",0.271052631578947
"229",0.547368421052632
"230",0.692105263157895
"231",0.576315789473684
"232",0.755263157894737
"233",0.744736842105263
"234",0.776315789473684
"235",1
"236",0.776315789473684
"237",0.736842105263158
"238",0.576315789473684
"239",0.776315789473684
"240",0.718421052631579
"241",0.718421052631579
"242",0.692105263157895
"243",0.647368421052632
"244",0.636842105263158
"245",0.626315789473684
"246",0.581578947368421
"247",0.581578947368421
"248",0.771052631578947
"249",0.626315789473684
"250",0.626315789473684
"251",0.626315789473684
"252",0.542105263157895
"253",0.471052631578947
"254",0.628947368421053
"255",0.442105263157895
"256",0.586842105263158
"257",0.471052631578947
"258",0.626315789473684
"259",0.681578947368421
"260",0.681578947368421
"261",0.513157894736842
"262",0.560526315789474
"263",0.576315789473684
"264",0.702631578947368
"265",0.613157894736842
"266",0.363157894736842
"267",0.439473684210526
"268",0.610526315789474
"269",0.378947368421053
"270",0.673684210526316
"271",0.726315789473684
"272",1
"273",0.776315789473684
"274",1
"275",0.655263157894737
