creditor,debtor,amount,risk
CI-5357,CHR_119,0.402380952,1
CI-5357,CHR_151,0.402380952,1
CI-5429,06_7515,0.402380952,1
CI-5429,07_3853,0.402380952,1
CI-5429,CGY_HR_022,0.402380952,1
CI-5429,CGY_HR_074,0.402380952,1
CI-5429,CGY_HR_076,0.402380952,1
CI-5429,CHR_090,0.402380952,1
CI-5429,CHR_119,0.402380952,1
CI-5429,CHR_151,0.402380952,1
